Name,Metric Units,US Units,Notes
Dhokla,kg,lbm,
Pickle,kg,lbm,
Ghee,l,gal,anita to order from Sunrise Natural Foods
Whole grain bread,loaves,,
Gluten-free bread,loaves,,
Regular cereal,kg,lbm,bring variety
Gluten-free cereal,kg,lbm,
Peanut butter,kg,lbm,
Jelly,kg,lbm,
Butter,kg,lbm,
Potato chips,kg,lbm,
Nachos,kg,lbm,
Shredded Parmesan,g,lbm,
Rotis,pieces,,
Instant decaf coffee,kg,lbm,
Bru,kg,lbm,instant coffee please
Tea packets,bags,,"(black, green, non-caffeinated)"
Almond milk,l,gal,
Biscuits,pieces,,
Dates,kg,lbm,
Kaju Katli,pieces,pieces,
Motichoor Laddu,pieces,,
Balsamic glaze,l,l,https://www.webstaurantstore.com/colavita-32-oz-original-balsamic-glace/999COLAV336.html
Maple syrup,l,oz,
Salad dressing (vegan),l,oz,balsamic or italian dressing
Mexican hot sauce,l,oz,spicy salsa or hot sauce
Corn Tortilla,pieces,pieces,https://www.costcobusinessdelivery.com/guerrero-6-corn-tortillas%2C-100-ct.product.11334407.html
Naan,pieces,,frozen from indian store or costco